pre-harvest_total,adult_prop,yearling_prop,fawn_prop,f:m_ratio,lambda
44198,0.49,0.14,0.37,1.26,NA
42632,0.41,0.25,0.34,1.33,0.965
41574,0.42,0.23,0.36,1.38,0.975
41096,0.41,0.23,0.35,1.41,0.989
43781,0.43,0.22,0.35,1.49,1.065
47326,0.42,0.21,0.37,1.5,1.081
50370,0.41,0.23,0.36,1.53,1.064
52729,0.41,0.23,0.37,1.52,1.047
54163,0.41,0.23,0.36,1.5,1.027
55107,0.4,0.23,0.37,1.48,1.017
55303,0.4,0.24,0.36,1.46,1.004
56019,0.4,0.23,0.37,1.48,1.013
56210,0.4,0.24,0.36,1.48,1.003
56326,0.4,0.23,0.36,1.48,1.002
56552,0.4,0.24,0.36,1.49,1.004
44258,0.49,0.14,0.37,1.28,NA
43023,0.41,0.25,0.34,1.34,0.972
41988,0.41,0.23,0.36,1.39,0.976
41652,0.41,0.24,0.36,1.42,0.992
44319,0.43,0.21,0.36,1.48,1.064
48153,0.42,0.21,0.36,1.52,1.087
51359,0.42,0.22,0.37,1.52,1.067
53597,0.41,0.23,0.36,1.5,1.044
54805,0.41,0.23,0.36,1.49,1.023
56284,0.41,0.23,0.36,1.51,1.027
56988,0.4,0.23,0.36,1.51,1.013
57172,0.4,0.23,0.36,1.5,1.003
57751,0.4,0.23,0.36,1.48,1.01
58075,0.4,0.24,0.36,1.48,1.006
58150,0.4,0.23,0.36,1.48,1.001
44200,0.49,0.14,0.37,1.28,NA
42771,0.41,0.25,0.34,1.34,0.968
41911,0.42,0.23,0.36,1.39,0.98
41201,0.41,0.23,0.36,1.4,0.983
44332,0.43,0.21,0.35,1.5,1.076
47937,0.42,0.21,0.36,1.53,1.081
51452,0.41,0.22,0.37,1.53,1.073
54101,0.41,0.22,0.37,1.54,1.051
55840,0.4,0.23,0.36,1.52,1.032
57058,0.41,0.23,0.36,1.48,1.022
58073,0.41,0.23,0.36,1.49,1.018
58404,0.4,0.23,0.36,1.48,1.006
58625,0.41,0.23,0.36,1.48,1.004
58930,0.4,0.23,0.36,1.46,1.005
59076,0.4,0.24,0.36,1.46,1.002
43530,0.49,0.14,0.37,1.26,NA
41920,0.41,0.25,0.34,1.32,0.963
41083,0.42,0.23,0.36,1.35,0.98
40533,0.41,0.23,0.36,1.39,0.987
43378,0.43,0.22,0.35,1.49,1.07
47437,0.42,0.21,0.36,1.52,1.094
50337,0.41,0.22,0.36,1.51,1.061
53284,0.41,0.22,0.37,1.5,1.059
55121,0.4,0.23,0.37,1.5,1.034
56583,0.41,0.23,0.36,1.5,1.027
57619,0.41,0.23,0.37,1.49,1.018
58500,0.4,0.23,0.36,1.48,1.015
58641,0.4,0.24,0.36,1.47,1.002
59417,0.4,0.23,0.37,1.47,1.013
58833,0.4,0.24,0.36,1.47,0.99
43785,0.49,0.14,0.37,1.27,NA
42259,0.41,0.25,0.34,1.33,0.965
41122,0.42,0.22,0.36,1.38,0.973
40580,0.41,0.23,0.36,1.41,0.987
43379,0.43,0.22,0.35,1.49,1.069
46891,0.42,0.21,0.36,1.52,1.081
49697,0.41,0.22,0.37,1.53,1.06
51406,0.41,0.23,0.37,1.52,1.034
52821,0.4,0.23,0.37,1.53,1.028
54379,0.4,0.23,0.36,1.51,1.029
55368,0.4,0.23,0.36,1.5,1.018
56014,0.4,0.23,0.36,1.49,1.012
55673,0.4,0.24,0.36,1.48,0.994
55691,0.4,0.23,0.36,1.45,1
55339,0.4,0.24,0.36,1.47,0.994
43790,0.49,0.14,0.37,1.27,NA
42371,0.41,0.25,0.34,1.33,0.968
41542,0.42,0.23,0.36,1.37,0.98
40550,0.41,0.24,0.35,1.41,0.976
43650,0.43,0.22,0.35,1.49,1.076
47280,0.42,0.21,0.37,1.52,1.083
50127,0.41,0.23,0.36,1.54,1.06
52653,0.41,0.22,0.37,1.51,1.05
54205,0.4,0.23,0.37,1.51,1.029
55771,0.4,0.23,0.36,1.51,1.029
56822,0.4,0.23,0.37,1.5,1.019
57801,0.4,0.23,0.36,1.49,1.017
58113,0.4,0.23,0.36,1.48,1.005
57931,0.4,0.23,0.36,1.47,0.997
58019,0.4,0.24,0.36,1.45,1.002
44282,0.49,0.14,0.37,1.26,NA
42800,0.41,0.25,0.34,1.32,0.967
41514,0.42,0.23,0.35,1.37,0.97
40891,0.41,0.23,0.36,1.39,0.985
43583,0.43,0.22,0.35,1.49,1.066
47340,0.42,0.21,0.37,1.53,1.086
50632,0.41,0.22,0.37,1.54,1.07
52711,0.41,0.23,0.37,1.53,1.041
54568,0.4,0.23,0.37,1.5,1.035
55632,0.4,0.24,0.36,1.49,1.019
56247,0.4,0.23,0.36,1.5,1.011
56741,0.4,0.23,0.36,1.47,1.009
56775,0.4,0.24,0.36,1.47,1.001
56782,0.41,0.23,0.36,1.45,1
56913,0.4,0.23,0.36,1.45,1.002
44099,0.49,0.14,0.37,1.28,NA
42620,0.41,0.25,0.34,1.31,0.966
41491,0.42,0.23,0.35,1.38,0.974
40696,0.41,0.23,0.35,1.43,0.981
44056,0.43,0.21,0.36,1.52,1.083
47691,0.42,0.21,0.37,1.53,1.083
50250,0.41,0.23,0.36,1.54,1.054
52451,0.41,0.23,0.36,1.54,1.044
54766,0.41,0.23,0.37,1.53,1.044
55836,0.4,0.23,0.36,1.52,1.02
56770,0.4,0.23,0.36,1.5,1.017
57015,0.4,0.23,0.36,1.48,1.004
57163,0.4,0.24,0.36,1.47,1.003
57367,0.4,0.23,0.36,1.48,1.004
57128,0.4,0.24,0.36,1.47,0.996
43918,0.49,0.14,0.37,1.28,NA
42439,0.41,0.25,0.34,1.35,0.966
41920,0.42,0.22,0.36,1.4,0.988
41271,0.41,0.24,0.36,1.39,0.985
43981,0.43,0.22,0.35,1.48,1.066
47484,0.43,0.21,0.36,1.5,1.08
50442,0.41,0.22,0.37,1.53,1.062
52954,0.41,0.23,0.36,1.52,1.05
54812,0.41,0.23,0.37,1.52,1.035
56127,0.4,0.23,0.37,1.52,1.024
57393,0.4,0.23,0.36,1.49,1.023
57851,0.4,0.23,0.36,1.48,1.008
57929,0.4,0.24,0.36,1.47,1.001
57855,0.41,0.23,0.36,1.47,0.999
57629,0.4,0.24,0.36,1.48,0.996
43954,0.49,0.14,0.37,1.25,NA
42248,0.41,0.25,0.34,1.32,0.961
41166,0.42,0.23,0.35,1.4,0.974
40614,0.41,0.23,0.36,1.42,0.987
43886,0.43,0.21,0.36,1.51,1.081
47757,0.42,0.21,0.37,1.52,1.088
50404,0.41,0.22,0.37,1.54,1.055
52415,0.41,0.23,0.36,1.53,1.04
54306,0.41,0.23,0.36,1.51,1.036
55555,0.41,0.23,0.36,1.51,1.023
56204,0.4,0.24,0.36,1.5,1.012
56502,0.4,0.23,0.36,1.48,1.005
56451,0.4,0.24,0.36,1.45,0.999
56536,0.4,0.24,0.36,1.44,1.002
56504,0.41,0.23,0.36,1.44,0.999
